Host|Minimum|Maximum|Average
HOST1|77.85|77.89|77.86
HOST2|77.69|77.73|77.71
HOST3|77.75|77.79|77.77
HOST4|78.03|78.06|78.04
HOST5|85.92|87.47|86.84
HOST6|93.28|93.64|93.49
HOST7|96.5|96.83|96.68
HOST8|90.07|92.09|90.81
HOST9|96.1|96.52|96.35
HOST10|99.23|99.57|99.4
HOST11|94.84|94.98|94.9
HOST12|54.27|54.84|54.77
HOST13|39.54|40.8|40.52
HOST14|51.16|51.38|51.27
HOST15|81.26|81.3|81.29
HOST16|85.09|93.46|92.1
HOST17|60.58|61.2|61.17
HOST18|79.35|97.42|82.98
HOST19|82.42|83.14|82.77
HOST20|71.12|73.03|71.92
HOST21|54.34|61.11|57.69
HOST22|57.55|61.31|59.98
HOST23|35.76|41.91|37.35
HOST24|33.64|40.69|36.76
HOST25|32.32|45.79|36.96
HOST26|41.43|46.13|43.36
HOST27|43.53|47.21|45.07
HOST28|43.23|49.01|45.64
HOST29|31.82|41.61|36.37
ALL_HOSTS|31.82|99.57|67.73
